query,issue,category,query_preprocessed,vocab
fileveroorzaker,Infrastructuur,expanded,fileveroorzaker,True
filewekker,Infrastructuur,expanded,filewekker,True
filedagen,Infrastructuur,expanded,filedagen,True
filerende,Infrastructuur,expanded,filerende,True
filerend,Infrastructuur,expanded,filerend,True
filevoorspeller,Infrastructuur,expanded,filevoorspeller,True
fileduur,Infrastructuur,expanded,fileduur,True
filespecialist,Infrastructuur,expanded,filespecialist,True
filedetectie,Infrastructuur,expanded,filedetectie,True
filebestrijders,Infrastructuur,expanded,filebestrijders,True
fileknooppunt,Infrastructuur,expanded,fileknooppunt,True
fileindex,Infrastructuur,expanded,fileindex,True
filetoeslag,Infrastructuur,expanded,filetoeslag,True
filedrama,Infrastructuur,expanded,filedrama,True
filewissel,Infrastructuur,expanded,filewissel,True
filevraagstuk,Infrastructuur,expanded,filevraagstuk,True
fileflirt,Infrastructuur,expanded,fileflirt,True
filemonitor,Infrastructuur,expanded,filemonitor,True
filelocaties,Infrastructuur,expanded,filelocaties,True
filelijstjes,Infrastructuur,expanded,filelijstjes,True
filenet,Infrastructuur,expanded,filenet,True
filerijke,Infrastructuur,expanded,filerijke,True
fileerders,Infrastructuur,expanded,fileerders,True
fileland,Infrastructuur,expanded,fileland,True
filejaar,Infrastructuur,expanded,filejaar,True
filee,Infrastructuur,expanded,filee,True
filebeeld,Infrastructuur,expanded,filebeeld,True
filefietsen,Infrastructuur,expanded,filefietsen,True
filedetectiesysteem,Infrastructuur,expanded,filedetectiesysteem,True
filemons,Infrastructuur,expanded,filemons,True
filekans,Infrastructuur,expanded,filekans,True
filep,Infrastructuur,expanded,filep,True
fileloos,Infrastructuur,expanded,fileloos,True
fileregistratie,Infrastructuur,expanded,fileregistratie,True
filestad,Infrastructuur,expanded,filestad,True
filesignalering,Infrastructuur,expanded,filesignalering,True
filetraject,Infrastructuur,expanded,filetraject,True
filefeest,Infrastructuur,expanded,filefeest,True
fileermachines,Infrastructuur,expanded,fileermachines,True
filebeheerders,Infrastructuur,expanded,filebeheerders,True
filestrook,Infrastructuur,expanded,filestrook,True
filelied,Infrastructuur,expanded,filelied,True
filedeskundige,Infrastructuur,expanded,filedeskundige,True
filesonic,Infrastructuur,expanded,filesonic,True
filene,Infrastructuur,expanded,filene,True
filedienst,Infrastructuur,expanded,filedienst,True
filey,Infrastructuur,expanded,filey,True
filettino,Infrastructuur,expanded,filettino,True
fileconcert,Infrastructuur,expanded,fileconcert,True
filewaarschuwingen,Infrastructuur,expanded,filewaarschuwingen,True
fileva,Infrastructuur,expanded,fileva,True
filekovic,Infrastructuur,expanded,filekovic,True
filecrisis,Infrastructuur,expanded,filecrisis,True
filetaks,Infrastructuur,expanded,filetaks,True
filetoename,Infrastructuur,expanded,filetoename,True
filehinder,Infrastructuur,expanded,filehinder,True
filebulletins,Infrastructuur,expanded,filebulletins,True
filetlapje,Infrastructuur,expanded,filetlapje,True
fileerwerk,Infrastructuur,expanded,fileerwerk,True
filegevaar,Infrastructuur,expanded,filegevaar,True
filebericht,Infrastructuur,expanded,filebericht,True
filers,Infrastructuur,expanded,filers,True
filepolitie,Infrastructuur,expanded,filepolitie,True
filetrajecten,Infrastructuur,expanded,filetrajecten,True
filetopvijftig,Infrastructuur,expanded,filetopvijftig,True
filewegen,Infrastructuur,expanded,filewegen,True
fileborn,Infrastructuur,expanded,fileborn,True
filewaarschuwing,Infrastructuur,expanded,filewaarschuwing,True
filem,Infrastructuur,expanded,filem,True
filetstukjes,Infrastructuur,expanded,filetstukjes,True
fileniveau,Infrastructuur,expanded,fileniveau,True
filekijken,Infrastructuur,expanded,filekijken,True
filegedrag,Infrastructuur,expanded,filegedrag,True
fileoverzicht,Infrastructuur,expanded,fileoverzicht,True
filefuikzaak,Infrastructuur,expanded,filefuikzaak,True
filegolf,Infrastructuur,expanded,filegolf,True
fileppo,Infrastructuur,expanded,fileppo,True
filebestrijdingsplan,Infrastructuur,expanded,filebestrijdingsplan,True
filelast,Infrastructuur,expanded,filelast,True
fileoplossing,Infrastructuur,expanded,fileoplossing,True
